date|crypto|price
2024-11-12|Solana|211.90718492219165
2024-11-12|Solana|210.71772564927142
2024-11-12|Solana|213.8906186201723
2024-11-12|Solana|213.43805456643446
2024-11-12|Solana|211.55368393998762
2024-11-12|Solana|212.80263560204787
2024-11-12|Solana|214.08063772547402
2024-11-13|Solana|211.55679058982085
2024-11-13|Solana|211.21654083876393
2024-11-13|Solana|209.98842040266004
2024-11-13|Solana|207.73002874061132
2024-11-13|Solana|205.51912405906629
2024-11-13|Solana|205.09471568122376
2024-11-13|Solana|204.8597016681994
2024-11-13|Solana|203.29320080302813
2024-11-13|Solana|205.18101306326187
2024-11-13|Solana|206.35380265790724
2024-11-13|Solana|207.08427340206174
2024-11-13|Solana|208.12148010074532
2024-11-13|Solana|207.6636285360783
2024-11-13|Solana|207.9886684826609
2024-11-13|Solana|212.24604600622803
2024-11-13|Solana|217.64166835702832
2024-11-13|Solana|215.842563453876
2024-11-13|Solana|217.0747510703128
2024-11-13|Solana|218.5322287597789
2024-11-13|Solana|218.51361857625304
2024-11-13|Solana|211.03039424898668
2024-11-13|Solana|210.05682844949553
2024-11-13|Solana|211.5044094135924
2024-11-13|Solana|213.42164573976626
2024-11-14|Solana|215.3834637816007
2024-11-14|Solana|214.16184134225463
2024-11-14|Solana|216.11522606312633
2024-11-14|Solana|214.6105708836468
2024-11-14|Solana|218.84120468677133
2024-11-14|Solana|219.73599869085376
2024-11-14|Solana|219.1040267845958
2024-11-14|Solana|217.98226822606935
2024-11-14|Solana|218.60955177206841
2024-11-14|Solana|219.33352429295917
2024-11-14|Solana|222.3441961399979
2024-11-14|Solana|217.75073991457958
2024-11-14|Solana|216.00808345846747
2024-11-14|Solana|216.84295737015645
2024-11-14|Solana|214.64968866266614
2024-11-14|Solana|211.59358022600935
2024-11-14|Solana|210.39303404320438
2024-11-14|Solana|216.8617931274878
2024-11-14|Solana|215.37393778402767
2024-11-14|Solana|215.1601206954715
2024-11-14|Solana|215.79013480183235
2024-11-14|Solana|213.5860606741988
2024-11-14|Solana|214.55830516105453
2024-11-14|Solana|211.68255234586664
2024-11-15|Solana|209.3680513303875
2024-11-15|Solana|210.50906328516825
2024-11-15|Solana|209.7067286123673
2024-11-15|Solana|210.1288803822022
2024-11-15|Solana|209.5440097020781
2024-11-15|Solana|206.29414407219267
2024-11-15|Solana|208.6905065707788
2024-11-15|Solana|210.11160601669812
2024-11-15|Solana|209.3550455156383
2024-11-15|Solana|211.46604281954515
2024-11-15|Solana|212.96000507003276
2024-11-15|Solana|213.6594455513501
2024-11-15|Solana|213.6192279609085
2024-11-15|Solana|213.86277055754363
2024-11-15|Solana|214.6275918361496
2024-11-15|Solana|210.71515298803632
2024-11-15|Solana|208.74470899168054
2024-11-15|Solana|209.76425507979593
2024-11-15|Solana|211.06664993161377
2024-11-15|Solana|210.4223294437917
2024-11-15|Solana|213.09029790550588
2024-11-15|Solana|215.68918118022782
